entity_raw,canonical_entity
glucosamine,glucosamine
sulfa,sulfa
"normal.,extremities",normalextremities
low back and right thigh pain,low back and right thigh pain
bell,bell
medrol dosepak,medrol dosepak
right leg pain,right leg pain
cephalgia,cephalgia
dermatological abnormalities,dermatological abnormalities
zestril,zestril
gross neurologic examination,gross neurologic examination
muscular spasm,muscular spasm
ischemic cardiac disease,ischemic heart disease
kerlone,kerlone
gemfibrozil,gemfibrozil
vitamin e 400,vitamin e 400
cancer of the lung and ischemic cardiac disease,cancer of the lung and ischemic cardiac disease
"systems:,endocrine",systemsendocrine
tia,tia
tic,tic
tic douloureux,tic douloureux
non-small cell lung cancer,nonsmall cell carcinoma
thoracic dysphagia,thoracic dysphagia
spiriva,spiriva
esophageal spasm,esophageal spasm
restless leg syndrome,restless legs
lower extremity,lower extremity
premarin 0.625,premarin 0625
elocon cream,elocon cream
phenobarbitone,phenobarbitone
peripheral polyneuropathy,peripheral neuropathy
"list:,1",list1
muscle sprain,muscle sprain
neurological deficits,neurological disease
"opportunistic infection.,past",opportunistic infections
trizivir,trizivir
neurological deficit,neurological disease
examination of external genitalia,examination of external genitalia
human immunodeficiency virus,human immunodeficiency virus
phlegm,phlegm
nizoral cream,nizoral cream
upper respiratory tract infection,upper respiratory infection
tinea,tinea
nizoral,nizoral
nitrogen,nitrogen
bextra,bextra
lexapro,lexapro
"milk of magnesia 30 cc daily, and amanda 10 mg b.i.d.,allergies",milk of magnesia 30 cc daily and amanda 10 mg bidallergies
buttock pain,buttock pain
degenerative disease,degenerative disease
hiv disease,hiv disease
left gluteal abscess,left gluteal abscess
hypertriglyceridemia,hypertriglyceridemia
thirst,thirst
insulin,insulin
glucophage,glucophage
glyburide,glyburide
gabapentin,gabapentin
metformin,metformin
glipizide,glipizide
paroxetine,paroxetine
human immunodeficiency virus disease,human immunodeficiency virus disease
chronic musculoskeletal pain,musculoskeletal pain
metronidazole,metronidazole
celexa,celexa
verapamil,verapamil
zetia,zetia
lamisil,lamisil
head was normocephalic,head normocephalic
"yeast dermatitis.,neck",yeast dermatitisneck
clostridium difficile enteritis,clostridium difficile colitis
diflucan,diflucan
pterygium,pterygium
systemic lupus,systemic lupus
systemic lupus erythematosus,systemic lupus erythematosus
fosamax,fosamax
folic acid,folic acid
trilisate,trilisate
lopressor,lopressor
prempro 0.625,prempro 0625
flu,flu
atarax,atarax
small bowel obstruction/paralytic ileus,small bowel obstructionparalytic ileus
obstipation,obstipation
hyponatremia,hyponatremia
niddm,niddm
hyperuricemia,hyperuricemia
renal azotemia,renal azotemia
aleve,aleve
mylanta,mylanta
sores,sores
vitamins,vitamins
ocuvite,ocuvite
strep throat,strep throat
zoloft,zoloft
anger,anger
anger outbursts,anger outbursts
postnasal,postnasal
muscle weakness,muscle weakness
bodyaches,bodyaches
"down.,o",downo
bad,bad
"obese.,extremities",obeseextremities
"impingement syndrome.,4",impingement syndrome4
mobic,mobic
heaviness,heaviness
crohn's and he takes care of that for him. he sees dr. roszhart for his prostate,crohns and he takes care of that for him he sees dr roszhart for his prostate
hand grasps,hand grasps
altace,altace
airway disease,airway disease
emesis,emesis
"eating anything.,medications",eating anythingmedications
earache,earache
viral gastroenteritis,viral gastritis
kaopectate,kaopectate
lipometabolism disorder,lipometabolism disorder
sneezing,sneezing
itchy throat,itchy throat
low-dose aspirin,lowdose aspirin
vitamin b,vitamin b
nares,nares
normoactive bowel,normoactive bowel
gait disturbance,gait disturbance
sonogram,sonogram
weight reduction,weight reduction
"headaches, neck pains",headaches neck pain
bruises,bruises
left shoulder tenderness,left shoulder pain
nystatin ointment,nystatin ointment
bactroban,bactroban
klonopin,klonopin
"auscultation.,cardiovascular",auscultationcardiovascular
doripenem,doripenem
decompensation,decompensation
recent pulmonary embolism,recent pulmonary embolism
muscular pain,muscular pain
nc/t,nct
chronic medical renal disease,medical renal disease
rhabdomyolysis,rhabdomyolysis
sinus congestion,sinus congestion
denies abdominal pain,denies abdominal pain
denies swelling,denies swelling
compression fracture,compression fracture
hydrochlorothiazide,hydrochlorothiazide
myofascitis,myofascitis
av block,av block
flaky,flaky
x-rayed,xrayed
type ii diabetes mellitus,type 2 diabetes
hyzaar 50/12.5,hyzaar 50125
lovastatin,lovastatin
breast reduction,breast reduction
xerostomia,xerostomia
chronic gi irritability,gi irritability
inhalant allergies,inhalant allergies
anastomotic leak,anastomotic leak
"stricture, small bowel obstruction",stricture small bowel obstruction
skin disease,skin disease
crepitance,crepitance
cisplatin,cisplatin
adriamycin,adriamycin
abnormal vaginal bleeding,abnormal bleeding
seroma,seroma
ferrous sulfate,ferrous sulfate
down’s syndrome,down’s syndrome
onychomycosis,onychomycosis
hypothyroid,hypothyroid
eyedrops,eyedrops
"down’s syndrome.,2. onychomycosis.,3",down’s syndrome2 onychomycosis3
"liver dysfunction.,3",liver dysfunction3
metabolic syndrome,metabolic syndrome
carbohydrate,carbohydrate
sugar-free kool-aid,sugarfree koolaid
gestational diabetes,gestational diabetes
ketones,ketones
hypoglycemia,hypoglycemia
diabetic exchanges,diabetic exchanges
novolog 70/30,novolog 7030
sugar-free jell-o,sugarfree jello
sugar-free lemonade,sugarfree lemonade
70s,70s
type 2 diabetes,type 2 diabetes
humulin insulin 70/30,humulin insulin 7030
unawareness,unawareness
diabetic neuropathy,diabetic neuropathy
nph,nph
kidney damage,kidney damage
lantus,lantus
scooter,scooter
neurological abnormalities,neurological disease
skin lacerations,skin lacerations
eczema,eczema
aristocort cream,aristocort cream
psoriasis,psoriasis
sunburns,sunburns
polysporin ointment t.i.d,polysporin ointment3
"cetaphil cleansing lotion.,4",cetaphil cleansing lotion4
crusting,crusting
vldl,vldl
"hyperlipidemia.,history",hyperlipidemiahistory
hypoglycemic,hypoglycemic
hyperglycemia,hyperglycemia
polyphagia,polyphagia
novolog insulin,novolog insulin
painful urination or blood in the urine.,painful urination or blood in the urine
triglyceride 140,triglyceride 140
upper lobe stage,upper lobe stage
phenobarbital,phenobarbital
citalopram,citalopram
combivent inhaler,combivent inhaler
asacol,asacol
suprasellar tumor,suprasellar tumor
craniopharyngioma,craniopharyngioma
bitemporal hemianopsia,bitemporal hemianopsia
motor or sensory deficits,motor or sensory deficits
nonacute distress,nonacute distress
clostridium difficile,clostridium difficile
clostridium difficile colitis,clostridium difficile colitis
acute renal failure,renal failure
leucocytosis,leukocytosis
chronic kidney disease,kidney disease
polycystic kidney disease,polycystic kidney disease
end-stage kidney disease,endstage renal disease
vytorin 10/40,vytorin 1040
rocaltrol,rocaltrol
carvedilol,carvedilol
nonsteroidals,nonsteroidals
salicylate,salicylate
degenerative disc disease,degenerative disease
sacroiliitis,sacroiliitis
"attention deficit disorder.,2",attention deficit disorder2
tenormin,tenormin
wellbutrin,wellbutrin
musculoskeletal soreness,musculoskeletal soreness
toe-heel,toeheel
tmj arthropathy,tmj arthropathy
mood disorder,mood disorder
attention deficit disorder,attention deficit disorder
sulfa allergies,sulfa allergies
chondroitin/glucosamine,chondroitinglucosamine
jvp,jvp
diabetes type ii,diabetes type 2
nephrosis,nephrosis
tricor,tricor
fenofibrate,fenofibrate
venous thromboembolic disease,venous thrombosis
"sweet syndrome.,4",sweet syndrome4
peripheral neuropathy,peripheral neuropathy
"diabetic retinopathy.,history",diabetic retinopathy3
diabetes and kidney disease,diabetes and kidney disease
hydroxyzine,hydroxyzine
ergocalciferol,ergocalciferol
calcium carbonate,calcium carbonate
valsartan,valsartan
amlodipine,amlodipine
painful urination,painful urination
nose,nose
c-peptide,cpeptide
throat cancer,throat cancer
cancer hypertension,cancer hypertension
"headaches, vision",headaches vision
cranial nerve viii,cranial nerve viii
fasciculations,fasciculations
tremoring of her bilateral upper arms,tremoring of her bilateral upper arms
spastic,spastic
t-wave abnormalities,twave abnormalities
four-vessel,fourvessel
coreg,coreg
simvastatin,simvastatin
advair 500/50,advair 10050
xopenex q.i.d,xopenex qid
shortness,shortness
degenerative disk disease and anterior and posterior osteophyte formation,degenerative disk disease and anterior and posterior osteophyte formation
upper extremity weakness,upper extremity weakness
corneal swelling,corneal swelling
scleritis,scleritis
indomethacin,indomethacin
indocin,indocin
ovarian malignancy,ovarian cancer
coarse breath,coarse breath
likely terminal illness,likely terminal illness
ovarian cancer,ovarian cancer
hydrochlorothiazide 25-mg,hydrochlorothiazide 25mg
doctor4,doctor4
"djd.,he",djdhe
"pulled.,he",pulledhe
lorcet,lorcet
lipitor,lipitor
panic,panic
"given.,4",given4
peridex mouthwash,peridex mouthwash
"swelling.,neurologic",swellingneurologic
systolic dysfunction,systolic dysfunction
acute pulmonary edema,pulmonary edema
ischemic cardiomyopathy,ischemic heart disease
abnormal liver function,abnormal liver function
liver congestion,liver congestion
dka,dka
nuclear sclerosis,nuclear sclerosis
choroidal neovascularization,choroidal neovascularization
breast adenocarcinoma,breast lump
"t3 n1b m0, stage iiia.,she",t3 n2c m0 stage
supraclavicular lymphadenopathy,supraclavicular lymphadenopathy
congenital bicuspid,congenital bicuspid
q.a.m,qam
dyazide,dyazide
premature atrial contraction,premature atrial contraction
cranial or peripheral nervous systems,cranial or peripheral nervous systems
magnesium,magnesium
cardiomegaly,cardiomegaly
wolff-parkinson white,wolffparkinson white
wpw,wpw
zometa,zometa
faslodex,faslodex
aromasin,aromasin
ixabepilone,ixabepilone
avastin,avastin
toxicity,toxicity
ixempra,ixempra
ambien,ambien
effexor,effexor
lyrica,lyrica
tremoring,tremoring
abilify,abilify
asperger disorder,asperger disorder
obsessive compulsive,obsessive compulsive
luvox,luvox
right breast cancer,right breast cancer
infiltrating ductal carcinoma,infiltrating ductal carcinoma
"n0, m0 stage iia",n0 m0 stage iia
arimidex,arimidex
femara,femara
antiestrogen,antiestrogen
avapro,avapro
pepcid q.d,pepcid qd
adult abuse,adult abuse
hodgkin's disease,hodgkins disease
lotensin,lotensin
lopid,lopid
esmolol,esmolol
respiratory distress syndrome,respiratory distress syndrome
hypernatremia,hypernatremia
external ocular motions,external ocular motions
critically ill,critically ill
multiorgan dysfunction,multiorgan dysfunction
aplastic,aplastic
pancytopenia,pancytopenia
aplastic anemia,aplastic anemia
cyclosporine,cyclosporine
acute kidney injury,kidney injury
cyclosporine toxicity,cyclosporine toxicity
papillary carcinoma,papillary tumor
"diabetes mellitus.,4",diabetes mellitus4
primary complaint,primary complaint
byetta,byetta
"lightheadedness, weakness",lightheadedness weakness
"plan:,this",planthis
acne,acne
tazorac cream,tazorac cream
oral cancer,oral cancer
sunburn,sunburn
benzoyl peroxide,benzoyl peroxide
folliculitis-like lesions,folliculitislike lesions
septra,septra
referred,referred
drowsiness,drowsiness
chronic lymphocytic leukemia,lymphocytic leukemia
autoimmune hemolytic,autoimmune hemolytic
autoimmune hemolytic anemia,autoimmune hemolytic anemia
involuntary movements,involuntary movements
frontotemporal head regions,frontotemporal head regions
epilepsy,epilepsy
non-epileptic events,nonepileptic events
epileptic seizures,epileptic seizures
non-epileptic,nonepileptic
daytime somnolence,daytime somnolence
hyperactivity,hyperactivity
right ventricular hypertrophy,right ventricular hypertrophy
hypopneas,hypopneas
apnea-hypopnea,apneahypopnea
sleep disorder,sleep disorder
sleep and stage rem sleep,sleep and stage ii sleep
sleep and stage ii sleep,sleep and stage ii sleep
sudden death,sudden death
automobile accident,automobile accident
sleep disorders,sleep disorders
osa,osa
nasal airway obstruction,nasal obstruction
complaints of loud snoring,complaints of loud snoring
"low back pain.,past",low back painpast
hytrin,hytrin
obese abdomen,obese abdomen
active bowel sounds,active bowel sounds
"non-focal.,impression:,1",nonfocalimpression1
probable obstructive sleep apnea,probable obstructive sleep apnea
"apnea/hypopnea index.,recommendations:,axis b",apneahypopnea indexrecommendationsaxis b
dysfunction and memory loss,dysfunction and memory loss
sleep difficulties,sleep disturbances
stomachache,stomachache
loss of appetite,loss of appetite
wakens,wakens
melatonin,melatonin
accutane,accutane
oxymetazoline,oxymetazoline
arousals,arousals
obstructive hypopneas,obstructive hypopneas
rem stage,rem stage
hypopnea,hypopnea
respiratory disturbance,respiratory disturbance
muscle contractions,muscle contractions
parkinson's.,parkinsons
parkinson's tremor,parkinsons tremor
leg jerk movement,leg jerk movement
morning stiffness,morning stiffness
tiredness,tiredness
aching and stiffness,aching and stiffness
peripheral nerve,peripheral nerve
pericarditis,pericarditis
d-penicillamine,dpenicillamine
acetaminophen,acetaminophen
put,put
"aching, joint pain",aching joint pain
amoxicillin-clavulanate,amoxicillinclavulanate
ankle swelling,ankle swelling
musculoskeletal,musculoskeletal
episodic weakness,episodic weakness
breathing difficulties,breathing problems
examination of peripheral vascular system reveals full to palpation,examination of peripheral vascular system reveals full to palpation
vioxx,vioxx
illness,illness
gastrointestinal problems,gastrointestinal disease
canker sores,canker sores
uric acid,uric acid
photosensitivity,photosensitivity
nasal ulcer,nasal ulcer
psychosis,psychosis
"deferred.,articular",deferredarticular
discoid lupus,discoid lupus
ulcerations,ulcerations
excoriations,excoriations
acanthosis nigricans,acanthosis nigricans
discoid rash,discoid rash
purpura,purpura
periungual erythema,periungual erythema
palmar erythema,palmar erythema
protopic,protopic
polymyositis,polymyositis
weakness of the bilateral lower extremities,weakness of the bilateral lower extremities
spine disease,spine disease
shingles,shingles
dry mouth,dry mouth
acyclovir,acyclovir
robitussin,robitussin
"allergies.,social",allergiessocial
lumbar spine disease,lumbar diskitis
neurologic or rheumatologic,neurologic or rheumatologic
lower extremity weakness,lower extremity weakness
acute illness,illness
myopathy,myopathy
myositis,myositis
neuropathic,neuropathic
zoster,zoster
seizure disorder,seizure disorder
henoch-schonlein purpura,henochschonlein purpura
proteinuria,proteinuria
alopecia,alopecia
vascular disease,vascular disease
arthralgias,arthralgias
adenoids and tonsils,adenoids and tonsils
visceromegaly,visceromegaly
hypermobile,hypermobile
previa,previa
abortion,abortion
31weeks,31weeks
heterogenous,heterogenous
uterine fibroid embolization,uterine fibroid embolization
left ovarian torsion,left ovarian torsion
cystic left ovarian mass,cystic left ovarian mass
"lower extremity edema bilaterally.,technique",lower extremity edema bilaterallytechnique
pelvic calcifications,pelvic calcifications
intrauterine fetus,intrauterine fetus
head to abdomen circumference ratio,head to abdomen circumference ratio
phlegmonous,phlegmonous
mca cva,mca cva
cardioembolic,cardioembolic
intracardiac shunts,intracardiac shunts
"oropharyngeal, esophageal, oral, tracheal, pulmonary and/or gastric perforation",oropharyngeal esophageal oral tracheal pulmonary andor gastric perforation
intracardiac thrombus,intracardiac thrombus
pulmonic insufficiency,pulmonic insufficiency
nonmobile descending,nonmobile descending
atherosclerosis,atherosclerosis
concentric hypertrophy,concentric hypertrophy
fibrocalcific valve leaflets,fibrocalcific valve leaflets
pericardium,pericardium
fatty infiltration,fatty infiltration
dilated common duct,dilated common duct
upper lobe pneumonia,upper lobe pneumonia
calculi,calculi
"shortness of breath.,procedure:",shortness of breathgi
"obtained.,findings:,1",obtainedfindings1
pericardial disease,pericardial disease
aortic valve sclerosis,aortic stenosis
"atrial valve replacement.,postoperative",atrial valve replacementpostoperative
benzocaine,benzocaine
lvh,lvh
"study.,the aorta",studythe aorta
aorta,aorta
osseous lesions,osseous lesions
obstructive osseous lesions,obstructive osseous lesions
resting myocardial perfusion,resting myocardial perfusion
"dobutamine-induced myocardial ischemia.,2",dobutamineinduced myocardial ischemia2
thallous chloride,thallous chloride
"lv myocardial perfusion.,3",lv myocardial perfusion3
lucency,lucency
inferior wall myocardial infarction,inferior myocardial infarction
dph,dph
femoral neuropathy,femoral neuropathy
multiple head trauma,multiple head trauma
frontal skull fracture,frontal skull fracture
traumatic seizures,traumatic seizures
librium,librium
verbal and visual memory,verbal and visual memory
etoh abuse,etoh abuse
head injuries,head injury
pneumothoraces,pneumothoraces
malrotation,malrotation
pulmonary vascular congestion,pulmonary vascular congestion
vascular congestion,vascular congestion
"peripheral blood flow.,impression:,1",peripheral blood flowimpression1
iodine allergy,iodine allergy
hyzaar,hyzaar
repolorization abnormalities,repolorization abnormalities
hypertensive cardiomyopathy,hypertensive cardiomyopathy
thoracic spine flexion,thoracic spine flexion
increased sclerosis,increased sclerosis
ischemic heart disease,ischemic heart disease
adenosine triphosphate,adenosine triphosphate
electrocardiographic abnormalities,electrocardiographic abnormalities
"carcinoma.,whole",carcinomawhole
bone lesion,bone lesion
obstructive atelectasis,obstructive atelectasis
nuclear medicine tumor,nuclear medicine tumor
thyroid tumor,thyroid tumor
inferior non-transmural scar,inferior nontransmural scar
ble weakness,ble weakness
"numbness.,hx",numbnesshx
back or neck pain,back or neck pain
5)djd,5djd
ecasa,ecasa
ipratropium,ipratropium
etoh,etoh
fhx,fhx
"r18,thin",r18thin
dysarthria,dysarthria
spastic muscle tone,spastic muscle tone
rle,rle
mildly labored breathing,mildly labored breathing
xrt,xrt
stress myocardial perfusion,stress myocardial perfusion
sestamibi,sestamibi
left pain,left pain
septal hypokinesis,septal hypokinesis
posttraumatic cysts,posttraumatic cysts
lunate,lunate
acute marrow edema,marrow edema
posttraumatic lunate cyst,posttraumatic lunate cyst
brevis synovitis,brevis synovitis
posttraumatic cyst,posttraumatic cyst
"synovitis.,synovitis",synovitissynovitis
craniosynostosis,craniosynostosis
plagiocephaly,plagiocephaly
incoordination,incoordination
bowel/bladder,bowelbladder
distal vibratory sensation loss,distal vibratory sensation loss
"normal.,course",normalcourse
multivitamins,multivitamins
protonix,protonix
flaxseed,flaxseed
right-bundle branch block,rightbundle branch block
supraventricular tachycardia,supraventricular tachycardia
inferior wall ischemia,inferior wall ischemia
sob,sob
upper extremity or bulbar dysfunction,upper extremity or bulbar dysfunction
prazosin,prazosin
3)peripheral vascular disease,3peripheral vascular disease
"air.,ms",airms
flaccid paraplegia,flaccid paraplegia
a-fib,afib
anterior-cervico-thoracic,anteriorcervicothoracic
cord infarction,cord infarction
cardiopulmonary arrest,cardiopulmonary arrest
restricted external rotation,restricted external rotation
peritendinous edema,peritendinous edema
tendinitis,tendonitis
intratendinous edema,intratendinous edema
labral ligamentous capsular,labral ligamentous capsular
interstitial edema,interstitial edema
"tear.,normal supraspinatus",tearnormal supraspinatus
5/4/97,5497
ache,ache
"time.,on",timeon
lumbar back pain,lumbar back pain
guillain-barre syndrome,guillainbarre syndrome
solu-cortef,solucortef
flaccid areflexic paralysis,flaccid areflexic paralysis
t-l-spine,tlspine
gadolinium,gadolinium
cord edema,cord edema
demyelinating disease,demyelinating disease
praziquantel,praziquantel
propulsid,propulsid
"negative.,other",negativeother
lhermitte,lhermitte
"tenderness.,gen",tendernessgen
ble numbness,ble numbness
polyradiculopathy,polyradiculopathy
axonal degeneration,axonal degeneration
upper lumbar back pain,upper back pain
lithium,lithium
bi-polar affective disorder,bipolar illness
bp118/64,bp11864
flaccid muscle,flaccid muscle
temp,temp
"sensation.,course",sensationcourse
pulmonary effusions,pulmonary effusions
epidural lipoma,epidural lipoma
cord swelling,cord swelling
myelitis,myelitis
lupus vasculopathy,lupus vasculopathy
hypercoagulable,hypercoagulable
pulmonary effusion,pulmonary effusion
proptosis,proptosis
sudden loss of vision,sudden loss of vision
retinal vein occlusion,retinal vein occlusion
cytoxan,cytoxan
meningismus,meningismus
bacterial meningitis,bacterial meningitis
leukopenia,leukopenia
sle,sle
supraspinatus tendinosis,supraspinatus tendonitis
muscular atrophy,muscular atrophy
hypertrophic osteoarthropathy,hypertrophic osteoarthropathy
supraspinatus musculotendinous,supraspinatus musculotendinous
extensive supraspinatus tendinosis,extensive supraspinatus tendinosis
acromiale,acromiale
reactive marrow edema,reactive marrow edema
cord deformity,cord deformity
deformity,deformity
impingement of the transversing nerve root,impingement of the transversing nerve root
multiple left-sided ovarian,multiple leftsided ovarian
right frontal glioblastoma multiforme,right frontal glioblastoma multiforme
bcnu,bcnu
procarbazine,procarbazine
steroid myopathy,steroid myopathy
left hemiplegia,left hemiplegia
"agent.,2",agent2
pedunculated mass,pedunculated mass
arachnoid cyst,arachnoid cyst
na 140,na 140
"k 4.0, cl",k 40 cl
1)myasthenia gravis,1myasthenia gravis
mestinon,mestinon
99bpm,99bpm
papilledema,papilledema
intraocular hemorrhage,intraocular hemorrhage
upper extremities,upper extremity
heterogeneous mass,heterogeneous mass
"contrast.,course",contrastcourse
right ptosis,right ptosis
upper thoracic pain,upper thoracic pain
paraparesis,paraparesis
brainstem/spine,brainstemspine
lbp,lbp
lbp pain,lbp pain
propranolol,propranolol
procardia,procardia
amaurosis,amaurosis
valvular heart disease,valvular disease
appeared,appeared
hip adductors,hip adductors
spasms illicited,spasms illicited
percussion myotonia,percussion myotonia
amyotrophy,amyotrophy
htn,htn
bone edema,bone edema
"blood products.,myxoid degenerative type changes medial and lateral meniscus",blood productsmyxoid degenerative type changes medial and lateral meniscus
mobility loss,mobility loss
intrasubstance degeneration,intrasubstance degeneration
"iliotibial band.,normal quadriceps",iliotibial bandnormal quadriceps
"fractures.,there",fracturesthere
"synovial thickening.,impression:,probable small tear",synovial thickeningimpressionprobable small tear
interstitial sprain,interstitial sprain
marrow edema,marrow edema
cuboid fracture,cuboid fracture
calcaneus,calcaneus
flair/t2,flairt2
hyperintensity,hyperintensity
sinus mucosal disease,sinus mucosal disease
vessel ischemic disease,vessel ischemic disease
volume loss,volume loss
hypertrophic tear,hypertrophic tear
erosions of the inferior neck of the talus,erosions of the inferior neck of the talus
chronic microvascular ischemic disease,microvascular ischemic disease
chronic ischemic change,ischemic change
abnormal mass,abnormal mass
chiari malformation,chiari malformation
"right cerebellar hemisphere.,3",right cerebellar hemisphere3
bruise of medial patellar facet measuring approximately 8 x 5 mm.,bruise of medial patellar facet measuring approximately 8 x 5 mm
type sprain,type sprain
bone bruise,bone bruise
active marrow stress,active marrow stress
effusion of the calcaneocuboid articulation,effusion of the calcaneocuboid articulation
venous distention,venous distention
talar dome,talar dome
ulnar nerve neuritis,ulnar nerve neuritis
subluxing ulnar nerve however the ulnar nerve,subluxing ulnar nerve however the ulnar nerve
peritendinous inflammation,peritendinous inflammation
interstitial inflammation,interstitial inflammation
lateral epicondylitis,lateral epicondylitis
herniation of the protrusion,herniation of the protrusion
radicular impingement,radicular impingement
csf cleft,csf cleft
herniation of the protrusion type,herniation of the protrusion type
"left hemibody numbness.,hx",left hemibody numbnesshx
left hemibody numbness,left hemibody numbness
"tingling, weakness",tingling weakness
ataxia,ataxia
multiple sclerosis,multiple sclerosis
"lhermitte's or uhthoff's phenomena.,meds:, none.,pmh:, 1)bronchitis twice",lhermittes or uhthoffs phenomenameds nonepmh 1bronchitis twice
strokes,strokes
dysesthesias,dysesthesias
shoulder stiffness,shoulder stiffness
bladder difficulties,bladder obstruction
effusion of the radiocapitellar articulation,effusion of the radiocapitellar articulation
abnormal muscle,abnormal muscle
mild loss of disc space height and posterior endplate,loss of disc space height and posterior endplate
hr145,hr145
left hemiparesis,left hemiplegia
orthostatic blood pressures,orthostatic blood pressures
pt/ptt/gs/cbc/abg,ptpttgscbcabg
labetalol,labetolol
r/o vasculitis,ro vasculitis
neuroforamina,neuroforamina
optic disk pallor,optic disk pallor
ino,ino
unsteady wide-based,unsteady widebased
vit b12,vit b12
histiocyte,histiocyte
abnormal left tibial somatosensory,abnormal left tibial somatosensory
dysesthesia,dysesthesia
lower extremity paresthesia,lower extremity paresthesia
nodding,nodding
dysesthetic sensory perception,dysesthetic sensory perception
white matter lesions,white matter disease
glioma,glioma
post-viral encephalitis,postviral encephalitis
hyperreflexia,hyperreflexia
enlargement of the cervical and thoracic spine,enlargement of the cervical and thoracic spine
hemangioblastoma,hemangioblastoma
bladder incontinence,bladder incontinence
"von hippel-lindau disease.,shx",von hippellindau diseaseshx
truck,truck
retinal hemangioblastoma,retinal hemangioblastoma
hads,hads
intermittent urinary retention,intermittent urinary retention
"malignancy.,she",malignancyshe
parkinson's disease,parkinsons disease
qhs,qhs
oxybutynin,oxybutynin
tob/etoh/illicit,tobetohillicit
no tremor,no tremor
dysdiadochokinesia,dysdiadochokinesia
parkinsonism,parkinsonism
orthostatic syncope,orthostatic syncope
sinemet,sinemet
micrographia,micrographia
hypophonia,hypophonia
"diplopia.,on",diplopiaon
hypomimia,hypomimia
autonomic dysfunction,autonomic dysfunction
shy-drager syndrome,shydrager syndrome
sudden onset word finding difficulty and slurred speech,sudden onset word finding difficulty and slurred speech
neck stiffness,neck stiffness
"tongue.,for",tonguefor
herbicide,herbicide
eom,eom
rmca,rmca
retinal vasculitic,retinal vasculitic
tagamet,tagamet
"qhs.,on",qhson
sudden onset right hemiparesis and transcortical motor type aphasia,sudden onset right hemiparesis and transcortical motor type aphasia
cognitive deficits,cognitive problems
decorticate posturing,decorticate posturing
coma,coma
posturing,posturing
displaced fracture,displaced fracture
cerebral intraparenchymal hemorrhage,cerebral hemorrhage
cn3 palsy,cn3 palsy
extensor rigidity,extensor rigidity
neutropenia,neutropenia
vpa,vpa
depakene,depakene
"basal ganglia, right frontal and left occipital regions",basal ganglia right frontal and left occipital regions
axonal injury of the white matter and gray matter contusion,axonal injury of the white matter and gray matter contusion
diazepam,diazepam
disconjugate,disconjugate
spastic quadriplegia,spastic quadriplegia
cerebrovascular disease,cerebrovascular disease
ica stenosis,ica stenosis
vitamin b12,vitamin b10
visual neglect,visual neglect
bica stenosis,bica stenosis
cardioembolic stroke,cardioembolic stroke
"8/21/95.,he",82195he
monocular blindness,monocular blindness
sudden onset monocular blindness,sudden onset monocular blindness
vision loss,vision loss
temporal headache,temporal headache
cyanosis of the distal #3 toes,cyanosis of the distal 3 toes
malar rash,malar rash
migraine headaches,migraine headaches
fingernails,fingernails
"36.,she",36she
ischemic syndrome,ischemic syndrome
episodic blindness,episodic blindness
thromboembolic,thromboembolic
feso4,feso4
left monocular blindness,left monocular blindness
strabismus,strabismus
8:30am,830am
scotoma,scotoma
upper lid ptosis,upper lid ptosis
non-sustained ankle clonus,nonsustained ankle clonus
bundle branch block,bundle branch block
a right pontine pyramidal tract infarction,a right pontine pyramidal tract infarction
ticlopidine,ticlopidine
aortic valvular fibrosis,aortic valvular fibrosis
ticlid,ticlid
neuronal loss,neuronal loss
ventricular enlargement,ventricular enlargement
white matter hyperintensity,white matter hyperintensity
vasculopathic small vessel disease,vasculopathic small vessel disease
hypointensity,hypointensity
amorphus hyperintensity,amorphus hyperintensity
dolichoectasia of the basilar,dolichoectasia of the basilar
"recommended.,remote lacunar infarction",recommendedremote lacunar infarction
intrasellar mass lesion,intrasellar mass lesion
apraxia,apraxia
"pick's disease vs. cortical basal ganglia degeneration.,on 11/18/94",picks disease vs cortical basal ganglia degenerationon 111894
"head injury.,2)progressive aphasia",head injury2progressive aphasia
frontoparietal headache,frontoparietal headache
neurologic disease,neurologic disease
appeared moderately distressed,appeared moderately distressed
non-fluent speech,nonfluent speech
truncal ataxia,truncal ataxia
florinef,florinef
ideomotor apraxia,ideomotor apraxia
cbz,cbz
"aphasia, dysphagia",aphasia dysphagia
cbgd,cbgd
pick's disease,picks disease
99.5f,995f
anisocoria,anisocoria
left hemispheric mass lesion,left hemispheric mass lesion
stavudine,stavudine
rifabutin,rifabutin
azt,azt
ddi,ddi
multiple malignancies,multiple malignancies
hiv infected,hiv disease
38.2c,382c
horizontal nystagmus,horizontal nystagmus
lower facial weakness,lower facial weakness
pyrimethamine,pyrimethamine
sulfadiazine,sulfadiazine
dnr,dnr
"blindness.,hx",blindnesshx
slurred speech,slurred speech
djd,djd
"ue, 3/3 patella, 2/2",ue 33 patella 22
thalamic strokes,thalamic strokes
intraatrial septal aneurysm,intraatrial septal aneurysm
palsy,palsy
impairment of anterograde verbal and visual memory,impairment of anterograde verbal and visual memory
hypophonic,hypophonic
verbal associative fluency,verbal associative fluency
decreased vertical eye movements,decreased vertical eye movements
complaint of visual field loss,complaint of visual field loss
visual field loss was of gradual onset and within a,visual field loss was of gradual onset and within a
homonymous hemianopsia,homonymous hemianopsia
holocranial throbbing headaches,holocranial headaches
