entity_raw,canonical_entity
"adhesions.,immunizations",adhesionsimmunizations
normocephalic,normocephalic
adenocarcinoma of the prostate,adenocarcinoma of prostate
lymphostasis,lymphostasis
adenocarcinoma,adenocarcinoma
adenopathy,adenopathy
bipolar coagulation,bipolar coagulation
bipolar gyrus coagulation,bipolar gyrus coagulation
anastomotic suture,anastomotic suture
prostatitis,prostatitis
urinary tract infection,urinary tract infection
vein thrombosis,vein thrombosis
hypospadias,hypospadias
left inguinal hernia,left inguinal hernia
softeners,softeners
postoperative infection,postoperative infection
mental illness,mentally ill
lung cancer,lung cancer
breast cancer,breast lump
glaucoma,glaucoma
"ago.,personal",agopersonal
denies palpitations,denies palpitations
orthopnea,orthopnea
dyspnea,dyspnea
denies peptic ulcer disease,denies peptic ulcer disease
denies reflux,denies reflux
hypercholesterolemia,hypercholesterolemia
extraocular movements,extraocular movements
nystagmus,nystagmus
babinski,babinski
erectile dysfunction,erectile dysfunction
testosterone,testosterone
anemia,anemia
enlargement,enlargement
xxx,xxx
lisinopril,lisinopril
aspirin,aspirin
zocor,zocor
drug allergies,drug allergies
obstructive urinary symptoms,obstructive urinary symptoms
"adenocarcinoma of the prostate.,2",adenocarcinoma of prostate
blood transfusions,blood transfusions
overdosage,overdosage
right ureteropelvic junction,right ureteropelvic junction
right renal stones,right renal stones
povidone-iodine,povidoneiodine
tightness,tightness
upj calculus,upj calculus
hydronephrosis,hydronephrosis
darvocet,darvocet
prostate cancer,prostate cancer
injury to the nerves.,injury to the nerves
pelvic fatty,pelvic fatty
abdominal cramping,abdominal cramping
sore throat,sore throat
"full-time.,nutritional",fulltimenutritional
appetite,appetite
depressed,depressed
timolol,timolol
thrush,thrush
"clubbing,",clubbing
"normal.,procedures",normalprocedures
infiltrating adenocarcinoma,infiltrating adenocarcinoma
urgency incontinence,urgency incontinence
complaint of a bleeding,complaint of a bleeding
itchy,itchy
nausea or vomiting,nausea reaction
skin lesions,skin lesions
sweats,sweats
weight gain,weight gain
pedunculated mass dangling from the glans of the penis,pedunculated mass dangling from the glans of the penis
pedunculated penile mass,pedunculated penile mass
"nonfunctioning inflatable penile prosthesis.,2",nonfunctioning inflatable penile prosthesis2
"adenocarcinoma of the prostate.,history",adenocarcinoma of prostate
fevers,fevers
diplopia,diplopia
tinnitus,tinnitus
vertigo,vertigo
dysphagia,dysphagia
palpitations,palpitations
arthritides,arthritides
myalgias,myalgias
bruising,bruising
ulcers,ulcers
head is normocephalic,head normocephalic
sclerae,sclerae
meatus,meatus
"injury to the rectum, injury to vessels and nerves",injury to the rectum injury to vessels and nerves
pulmonary embolus,pulmonary embolus
death,death
